id,eps,aMax,perceivedSafety,bestEps,bestAMax,bestPerceivedSafety,participantID
0,0.1,0.85,-2,0.75,0.1,-0.782203828559427,25
1,0.75,0.1,1,0.1,0.1,0.0,25
2,0.1,0.1,0,0.7367346938775511,0.7061224489795919,-4.307045221510587e-06,25
3,0.75,1.0,-1,0.6571428571428571,0.41224489795918373,0.0001772967077995069,25
4,0.75,0.5408163265306123,-1,0.3918367346938776,0.15510204081632656,-0.00011161764956912901,25
5,0.1,1.0,-2,0.2724489795918368,0.1,-0.0003511211882464005,25
6,0.1,0.1,0,0.6969387755102041,0.2653061224489796,-0.00043044187921434385,25
