id,eps,aMax,perceivedSafety,bestEps,bestAMax,bestPerceivedSafety,participantID
0,0.39,0.36,0,0.1,0.1,0.0,23
1,0.75,1.0,0,0.1,0.1,0.0,23
2,0.1,0.1,-1,0.75,1.0,-0.280701754198186,23
3,0.75,1.0,1,0.12653061224489798,0.8346938775510204,-0.0003198136568964838,23
4,0.1,1.0,1,0.3918367346938776,0.44897959183673475,6.480698482835834e-05,23
5,0.75,0.1,1,0.41836734693877553,0.15510204081632656,-0.00039044720924397147,23
6,0.1,0.6142857142857143,0,0.11326530612244899,0.13673469387755102,0.13538298327200382,23
