timestamp,pos_x,pos_y,pos_z,x_vel,y_vel,z_vel,x_acc,y_acc,z_acc,yaw,roll_vel,pitch_vel,yaw_vel
0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1.5,1.5,0.00015523842012044042,0.0,0.0,0.0015523841138929129,0.0,0.0,0.0,0.0,2.5287281489070174e-18,-2.5287281489070174e-18,0.0
0.2,1.5,1.5,0.0012044288450852036,0.0,0.0,0.010491903871297836,0.0,0.0,0.0,0.0,6.590039579549727e-18,-6.590039579549727e-18,0.0
0.30000000000000004,1.5,1.5,0.0039405315183103085,0.0,0.0,0.027361024171113968,0.0,0.0,0.0,0.0,1.0820940199763518e-17,-1.0820940199763518e-17,0.0
0.4,1.5,1.5,0.00905052199959755,0.0,0.0,0.051099903881549835,0.0,0.0,0.0,0.0,1.383233506033528e-17,-1.383233506033528e-17,0.0
0.5,1.5,1.5,0.01711999997496605,0.0,0.0,0.080694779753685,0.0,0.0,0.0,0.0,1.4556304211957004e-17,-1.4556304211957004e-17,0.0
0.6,1.5,1.5,0.028637800365686417,0.0,0.0,0.11517798900604248,0.0,0.0,0.0,0.0,1.2513077936264257e-17,-1.2513077936264257e-17,0.0
0.7,1.5,1.5,0.04400058835744858,0.0,0.0,0.15362787246704102,0.0,0.0,0.0,0.0,7.93098537928189e-18,-7.93098537928189e-18,0.0
0.7999999999999999,1.5,1.5,0.0635174885392189,0.0,0.0,0.19516900181770325,0.0,0.0,0.0,0.0,1.6893675086292995e-18,-1.6893675086292995e-18,0.0
0.8999999999999999,1.5,1.5,0.0874146819114685,0.0,0.0,0.23897193372249603,0.0,0.0,0.0,0.0,-4.901256474023196e-18,4.901256474023196e-18,0.0
0.9999999999999999,1.5,1.5,0.11584000289440155,0.0,0.0,0.28425320982933044,0.0,0.0,0.0,0.0,-1.0426818416384052e-17,1.0426818416384052e-17,0.0
1.0999999999999999,1.5,1.5,0.14886756241321564,0.0,0.0,0.33027559518814087,0.0,0.0,0.0,0.0,-1.3723220011372185e-17,1.3723220011372185e-17,0.0
1.2,1.5,1.5,0.1865023523569107,0.0,0.0,0.3763478994369507,0.0,0.0,0.0,0.0,-1.416735396176722e-17,1.416735396176722e-17,0.0
1.3,1.5,1.5,0.22868485748767853,0.0,0.0,0.4218250513076782,0.0,0.0,0.0,0.0,-1.183288649138129e-17,1.183288649138129e-17,0.0
1.4000000000000001,1.5,1.5,0.2752956449985504,0.0,0.0,0.46610787510871887,0.0,0.0,0.0,0.0,-7.471833137685343e-18,7.471833137685343e-18,0.0
1.5000000000000002,1.5,1.5,0.3261600136756897,0.0,0.0,0.5086436867713928,0.0,0.0,0.0,0.0,-2.3265625188620666e-18,2.3265625188620666e-18,0.0
1.6000000000000003,1.5,1.5,0.38105252385139465,0.0,0.0,0.5489251017570496,0.0,0.0,0.0,0.0,2.180800887221035e-18,-2.180800887221035e-18,0.0
1.7000000000000004,1.5,1.5,0.43970170617103577,0.0,0.0,0.5864918231964111,0.0,0.0,0.0,0.0,4.803906414912443e-18,-4.803906414912443e-18,0.0
1.8000000000000005,1.5,1.5,0.5017946362495422,0.0,0.0,0.6209293007850647,0.0,0.0,0.0,0.0,4.783763739816164e-18,-4.783763739816164e-18,0.0
1.9000000000000006,1.5,1.5,0.5669813752174377,0.0,0.0,0.6518673896789551,0.0,0.0,0.0,0.0,2.0384921142519525e-18,-2.0384921142519525e-18,0.0
2.0000000000000004,1.5,1.5,0.634880006313324,0.0,0.0,0.6789863109588623,0.0,0.0,0.0,0.0,-2.8162100145113e-18,2.8162100145113e-18,0.0
2.1000000000000005,1.5,1.5,0.7050806879997253,0.0,0.0,0.7020068168640137,0.0,0.0,0.0,0.0,-8.620989667771574e-18,8.620989667771574e-18,0.0
2.2000000000000006,1.5,1.5,0.7771506905555725,0.0,0.0,0.7207000255584717,0.0,0.0,0.0,0.0,-1.396267969971955e-17,1.396267969971955e-17,0.0
2.3000000000000007,1.5,1.5,0.850638747215271,0.0,0.0,0.7348805665969849,0.0,0.0,0.0,0.0,-1.7527583294361782e-17,1.7527583294361782e-17,0.0
2.400000000000001,1.5,1.5,0.9250799417495728,0.0,0.0,0.7444119453430176,0.0,0.0,0.0,0.0,-1.8429909956842802e-17,1.8429909956842802e-17,0.0
2.500000000000001,1.5,1.5,1.0,0.0,0.0,0.7492005825042725,0.0,0.0,0.0,0.0,-1.6433213417786776e-17,1.6433213417786776e-17,0.0
2.600000000000001,1.5,1.5,1.0749200582504272,0.0,0.0,0.7492005825042725,0.0,0.0,0.0,0.0,-1.2009503614231775e-17,1.2009503614231775e-17,0.0
2.700000000000001,1.5,1.5,1.149361252784729,0.0,0.0,0.7444119453430176,0.0,0.0,0.0,0.0,-6.2212526839715354e-18,6.2212526839715354e-18,0.0
2.800000000000001,1.5,1.5,1.2228493690490723,0.0,0.0,0.7348811626434326,0.0,0.0,0.0,0.0,-4.55766487951791e-19,4.55766487951791e-19,0.0
2.9000000000000012,1.5,1.5,1.2949193716049194,0.0,0.0,0.7207000255584717,0.0,0.0,0.0,0.0,3.921634746382771e-18,-3.921634746382771e-18,0.0
3.0000000000000013,1.5,1.5,1.3651200532913208,0.0,0.0,0.7020068168640137,0.0,0.0,0.0,0.0,5.908949402931221e-18,-5.908949402931221e-18,0.0
3.1000000000000014,1.5,1.5,1.4330185651779175,0.0,0.0,0.6789851188659668,0.0,0.0,0.0,0.0,5.117994751714647e-18,-5.117994751714647e-18,0.0
