id,eps,aMax,perceivedSafety,bestEps,bestAMax,bestPerceivedSafety,participantID
0,0.38,0.58,0,0.1,0.1,0.0,21
1,0.75,0.1,3,0.75,1.0,-4.407784991680659e-42,21
2,0.1,0.1,-1,0.75,1.0,4.2740989391257913e-32,21
3,0.1,0.3387755102040817,-1,0.3918367346938776,0.7612244897959184,0.0001247868988527301,21
4,0.75,1.0,1,0.1663265306122449,0.889795918367347,-9.84351397547989e-05,21
5,0.1,1.0,-1,0.4051020408163266,0.6510204081632653,-0.00017487344626784807,21
6,0.1,0.5775510204081633,0,0.37857142857142856,0.6877551020408164,-0.00010656278675064829,21
