id,eps,aMax,perceivedSafety,bestEps,bestAMax,bestPerceivedSafety,participantID
0,0.35,0.54,-1,0.75,1.0,-0.5314813864368053,6
1,0.75,1.0,-1,0.1,0.1,-0.780487804854662,6
2,0.1,0.1,-2,0.75,1.0,-1.122806994609126,6
3,0.75,1.0,0,0.75,1.0,-0.6174534118342652,6
4,0.75,0.1,1,0.5642857142857143,0.2285714285714286,-0.0005149820677444739,6
5,0.1,0.926530612244898,-2,0.7234693877551021,0.3938775510204082,-0.0010708243999024147,6
6,0.1,1.0,-2,0.6836734693877551,0.2836734693877551,-0.0005402904256018581,6
