timestamp,x_position,y_position,z_position,yaw
0.0,1.0,-1.0,-1997,2.4668517113662407
0.1,0.9921913119055696,-0.9937530495244558,-1997,2.4668517113662407
0.2,0.976573935716709,-0.9812591485733673,-1997,2.4668517113662407
0.30000000000000004,0.9531478714334181,-0.9625182971467345,-1997,2.4668517113662407
0.4,0.9219131190556968,-0.9375304952445576,-1997,2.4668517113662407
0.5,0.8828696785835453,-0.9062957428668363,-1997,2.4668517113662407
0.6000000000000001,0.8360175500169633,-0.8688140400135709,-1997,2.4668517113662407
0.7000000000000001,0.7813567333559512,-0.8250853866847612,-1997,2.4668517113662407
0.8,0.7266959166949392,-0.7813567333559515,-1997,2.4668517113662407
0.9,0.6720351000339272,-0.7376280800271418,-1997,2.4668517113662407
1.0,0.6251829714673454,-0.7001463771738763,-1997,2.4668517113662407
1.1,0.5783308429007634,-0.6626646743206107,-1997,2.4668517113662407
1.2000000000000002,0.5314787143341816,-0.6251829714673452,-1997,2.4668517113662407
1.3,0.4924352738620302,-0.5939482190896241,-1997,2.4668517113662407
1.4000000000000001,0.45339183338987865,-0.5627134667119029,-1997,2.4668517113662407
1.5,0.4221570810121575,-0.537725664809726,-1997,2.4668517113662407
1.6,0.39092232863443627,-0.512737862907549,-1997,2.4668517113662407
1.7000000000000002,0.36749626435114535,-0.4939970114809163,-1997,2.4668517113662407
1.8,0.3440702000678545,-0.4752561600542836,-1997,2.4668517113662407
1.9000000000000001,0.3206441357845636,-0.4565153086276509,-1997,2.4668517113662407
2.0,0.3050267595957029,-0.44402140767656234,-1997,2.5541181739659566
2.1,0.28837989702104794,-0.4329361938121143,-1997,2.641384636565673
2.2,0.27960506887874503,-0.42814011300868227,-1997,2.7286510991653894
2.3000000000000003,0.27044562562201574,-0.4241270594049092,-1997,2.8159175617651058
2.4000000000000004,0.2609712761446668,-0.42092757476186776,-1997,2.903184024364822
2.5,0.25125412596698954,-0.4185660090895931,-1997,2.990450486964538
2.6,0.24136812846921166,-0.41706033532880366,-1997,3.0777169495642545
2.7,0.23138852206161983,-0.41642201256596967,-1997,3.164983412163971
2.8000000000000003,0.2213912575748269,-0.4166558988227461,-1997,3.1649834121639717
2.9000000000000004,0.21139399308803394,-0.41688978507952257,-1997,3.252249874763687
3.0,0.2014551557412978,-0.417994100340271,-1997,3.339516337363403
3.1,0.19165038608806106,-0.41996044009905337,-1997,3.4267827999631195
3.2,0.18205430434566672,-0.42277383932299684,-1997,3.514049262562836
3.3000000000000003,0.17273994249044694,-0.42641288634523045,-1997,3.5140492625628372
3.4000000000000004,0.16342558063522722,-0.43005193336746406,-1997,3.5140492625628372
3.5,0.1541112187800075,-0.43369098038969767,-1997,3.5140492625628372
3.6,0.14479685692478775,-0.4373300274119313,-1997,3.4267827999631226
3.7,0.1352007751823934,-0.4401434266358748,-1997,3.426782799963121
3.8000000000000003,0.12560469343999905,-0.4429568258598183,-1997,3.426782799963121
3.9000000000000004,0.11600861169760472,-0.44577022508376185,-1997,3.3395163373634063
4.0,0.106203842044368,-0.4477365648425442,-1997,3.426782799963119
4.1000000000000005,0.09660776030197359,-0.4505499640664878,-1997,3.3395163373634054
4.2,0.08680299064873687,-0.45251630382527014,-1997,3.252249874763689
4.3,0.07686415330200067,-0.4536206190860186,-1997,3.3395163373634036
4.4,0.06705938364876386,-0.45558695884480094,-1997,3.252249874763688
4.5,0.05712054630202767,-0.4566912741055494,-1997,3.252249874763688
4.6000000000000005,0.047181708955291383,-0.45779558936629783,-1997,3.252249874763688
4.7,0.03724287160855519,-0.4588999046270463,-1997,3.252249874763687
4.800000000000001,0.027304034261818908,-0.4600042198877947,-1997,3.1649834121639717
4.9,0.017306769775025977,-0.46023810614457117,-1997,3.1649834121639717
5.0,0.007309505288233043,-0.4604719924013476,-1997,3.1649834121639704
5.1000000000000005,-0.0026877591985599776,-0.46070587865812407,-1997,3.0777169495642576
5.2,-0.012667365606151816,-0.4600675558952901,-1997,3.1649834121639695
5.300000000000001,-0.022664630092944837,-0.46030144215206653,-1997,3.0777169495642522
5.4,-0.032644236500536675,-0.4596631193892325,-1997,2.990450486964542
5.5,-0.04253023399831454,-0.45815744562844307,-1997,3.0777169495642522
5.6000000000000005,-0.05250984040590646,-0.45751912286560903,-1997,2.990450486964539
5.7,-0.06239583790368433,-0.45601344910481956,-1997,2.990450486964539
5.800000000000001,-0.07228183540146228,-0.4545077753440301,-1997,2.990450486964539
5.9,-0.08216783289924015,-0.4530021015832406,-1997,2.9904504869645345
6.0,-0.092053830397018,-0.4514964278224511,-1997,2.9031840243648226
6.1000000000000005,-0.10177098057469541,-0.4491348621501764,-1997,2.9031840243648226
6.2,-0.11148813075237272,-0.44677329647790176,-1997,2.9031840243648173
6.300000000000001,-0.1212052809300501,-0.44441173080562707,-1997,2.8159175617651124
6.4,-0.13067963040739905,-0.4412122461625857,-1997,2.9031840243648164
6.5,-0.14039678058507632,-0.438850680490311,-1997,2.8159175617651
6.6000000000000005,-0.1498711300624253,-0.43565119584726947,-1997,2.728651099165397
6.7,-0.15903057331915463,-0.43163814224349645,-1997,2.815917561765099
6.800000000000001,-0.16850492279650361,-0.42843865760045496,-1997,2.72865109916539
6.9,-0.1776643660532329,-0.4244256039966819,-1997,2.72865109916539
7.0,-0.1868238093099622,-0.4204125503929088,-1997,2.72865109916539
7.1000000000000005,-0.19598325256669158,-0.4163994967891357,-1997,2.7286510991653814
7.2,-0.20514269582342085,-0.41238644318536255,-1997,2.6413846365656735
