id,eps,aMax,perceivedSafety,bestEps,bestAMax,bestPerceivedSafety,participantID
0,0.3,0.25,-1,0.75,1.0,-0.4365784902249295,17
1,0.75,1.0,-1,0.1,0.1,-0.7804864258318247,17
2,0.1,0.1,-3,0.75,1.0,-1.1223123655593488,17
3,0.1,1.0,-3,0.75,1.0,-1.7454409560407163,17
4,0.75,0.1,1,0.7102040816326531,0.3387755102040817,-0.0006753941057153767,17
5,0.75,0.5775510204081633,0,0.7367346938775511,0.44897959183673475,-0.0015507772539044007,17
6,0.1,0.6326530612244898,-2,0.6969387755102041,0.3204081632653062,-0.0003451576405165621,17
